Date/Time,Transaction Code,Transaction Subcode,Symbol,Buy/Sell,Open/Close,Quantity,Expiration Date,Strike,Call/Put,Price,Fees,Amount,Description,Account Reference
07/13/2022 11:19 AM,Trade,Sell to Open,FAST,Sell,Open,1,08/19/2022,52.5,C,0.15,1.142,15,Sold 1 FAST 08/19/22 Call 52.50 @ 0.15,Individual
07/13/2022 10:54 AM,Trade,Buy to Close,ASAN,Buy,Close,1,08/19/2022,30,C,0.22,0.13,-22,Bought 1 ASAN 08/19/22 Call 30.00 @ 0.22,Individual
07/13/2022 10:50 AM,Trade,Buy to Close,FAST,Buy,Close,1,08/19/2022,57.5,C,0.05,0.13,-5,Bought 1 FAST 08/19/22 Call 57.50 @ 0.05,Individual
07/12/2022 10:13 AM,Trade,Sell to Open,FAST,Sell,Open,1,08/19/2022,45,P,0.49,1.142,49,Sold 1 FAST 08/19/22 Put 45.00 @ 0.49,Individual
07/12/2022 10:13 AM,Trade,Sell to Open,FAST,Sell,Open,1,08/19/2022,57.5,C,0.16,1.142,16,Sold 1 FAST 08/19/22 Call 57.50 @ 0.16,Individual
07/11/2022 12:47 PM,Trade,Sell to Open,XLE,Sell,Open,1,08/05/2022,55,P,0.23,1.142,23,Sold 1 XLE 08/05/22 Put 55.00 @ 0.23,Individual
07/11/2022 11:17 AM,Trade,Sell to Open,NCLH,Sell,Open,1,08/12/2022,17,C,0.09,1.142,9,Sold 1 NCLH 08/12/22 Call 17.00 @ 0.09,Individual
07/11/2022 11:17 AM,Trade,Sell to Open,NCLH,Sell,Open,1,08/12/2022,6.5,P,0.12,1.142,12,Sold 1 NCLH 08/12/22 Put 6.50 @ 0.12,Individual
07/11/2022 10:29 AM,Trade,Sell to Open,HAL,Sell,Open,1,08/26/2022,38,C,0.29,1.142,29,Sold 1 HAL 08/26/22 Call 38.00 @ 0.29,Individual
07/11/2022 10:29 AM,Trade,Sell to Open,HAL,Sell,Open,1,08/26/2022,22,P,0.38,1.142,38,Sold 1 HAL 08/26/22 Put 22.00 @ 0.38,Individual
07/11/2022 10:03 AM,Trade,Sell to Open,KMI,Sell,Open,1,08/26/2022,20,C,0.04,1.142,4,Sold 1 KMI 08/26/22 Call 20.00 @ 0.04,Individual
07/11/2022 10:03 AM,Trade,Sell to Open,KMI,Sell,Open,1,08/26/2022,13.5,P,0.1,1.142,10,Sold 1 KMI 08/26/22 Put 13.50 @ 0.10,Individual
07/11/2022 9:54 AM,Trade,Sell to Open,PYPL,Sell,Open,1,08/26/2022,95,C,0.83,1.142,83,Sold 1 PYPL 08/26/22 Call 95.00 @ 0.83,Individual
07/11/2022 9:54 AM,Trade,Sell to Open,PYPL,Sell,Open,1,08/26/2022,50,P,0.81,1.142,81,Sold 1 PYPL 08/26/22 Put 50.00 @ 0.81,Individual
07/11/2022 9:54 AM,Trade,Sell to Open,SLB,Sell,Open,1,08/26/2022,24,P,0.28,1.142,28,Sold 1 SLB 08/26/22 Put 24.00 @ 0.28,Individual
07/11/2022 9:54 AM,Trade,Sell to Open,SLB,Sell,Open,1,08/26/2022,44,C,0.26,1.142,26,Sold 1 SLB 08/26/22 Call 44.00 @ 0.26,Individual
07/11/2022 9:45 AM,Trade,Sell to Open,CCL,Sell,Open,1,08/26/2022,14.5,C,0.08,1.142,8,Sold 1 CCL 08/26/22 Call 14.50 @ 0.08,Individual
07/11/2022 9:45 AM,Trade,Sell to Open,CCL,Sell,Open,1,08/26/2022,3.5,P,0.06,1.142,6,Sold 1 CCL 08/26/22 Put 3.50 @ 0.06,Individual
07/11/2022 9:29 AM,Trade,Sell to Open,INTC,Sell,Open,1,08/26/2022,47,C,0.1,1.142,10,Sold 1 INTC 08/26/22 Call 47.00 @ 0.10,Individual
07/11/2022 9:29 AM,Trade,Sell to Open,INTC,Sell,Open,1,08/26/2022,28,P,0.2,1.142,20,Sold 1 INTC 08/26/22 Put 28.00 @ 0.20,Individual
07/11/2022 9:22 AM,Trade,Sell to Open,ASAN,Sell,Open,1,08/19/2022,30,C,0.26,1.142,26,Sold 1 ASAN 08/19/22 Call 30.00 @ 0.26,Individual
07/09/2022 9:48 AM,Money Movement,Balance Adjustment,,,,0,,,,,0.00,-0.05,Regulatory fee adjustment,Individual
07/08/2022 4:00 PM,Money Movement,Deposit,,,,0,,,,,0.00,5000,ACH DEPOSIT,Individual
07/08/2022 1:51 PM,Trade,Sell to Open,AAL,Sell,Open,1,08/19/2022,10,P,0.21,1.142,21,Sold 1 AAL 08/19/22 Put 10.00 @ 0.21,Individual
07/08/2022 1:51 PM,Trade,Sell to Open,AAL,Sell,Open,1,08/19/2022,18,C,0.22,1.142,22,Sold 1 AAL 08/19/22 Call 18.00 @ 0.22,Individual
07/08/2022 1:43 PM,Trade,Sell to Open,T,Sell,Open,1,08/19/2022,18,P,0.13,1.142,13,Sold 1 T 08/19/22 Put 18.00 @ 0.13,Individual
07/08/2022 1:43 PM,Trade,Sell to Open,T,Sell,Open,1,08/19/2022,24,C,0.03,1.142,3,Sold 1 T 08/19/22 Call 24.00 @ 0.03,Individual
07/08/2022 10:41 AM,Trade,Sell to Open,CSCO,Sell,Open,1,08/19/2022,37.5,P,0.37,1.142,37,Sold 1 CSCO 08/19/22 Put 37.50 @ 0.37,Individual
07/08/2022 10:41 AM,Trade,Sell to Open,CSCO,Sell,Open,1,08/19/2022,50,C,0.15,1.142,15,Sold 1 CSCO 08/19/22 Call 50.00 @ 0.15,Individual